$label,$beginTime,$endTime,$type,label,tr_type,data_in,data_out,word_index,bit_count,is_first_of_frame,is_last_of_frame,status,status.flags, command, data_in,data_out,last_bit,address,data,mosi_crc_correct,mosi_crc,miso_crc_correct,miso_crc,channel_bits,pulse_count,wait_time,external_sync,broad_cast,dsi3_crc_correct,crm_packet,crm_packet.word_1,crm_packet.word_2,packet_index,tdma_packet,tdma_packet.earliest_start_time,tdma_packet.latest_start_time,tdma_packet.symbol_count,tdma_packet.id_symbol_count,tdma_packet.enable,tdma_packet.start_time,tdma_packet.tolerance,tdma_packet.tolerance_int,tdma_packet.tolerance_int_min,tdma_packet.tolerance_int_max,tdma_packet.fine_delay_time,tdma_packet.crc_error_injection,tdma_packet.symbol_coding_error_injection,tdma_packet.chip_length_error_injection,tdma_packet.packet,pdcm_period,packet_count,channel_0,
spi-frontdoor,2272893000,2288333000,Transaction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
frame,2272893000,2288333000,Transaction,-,-,-,-,-,-,1'h1,1'h1,9035,""|HE|-|-|-|NT1|NT0|-|-|-|-"",""spi command frame (2 commands)"",""2053 2000 1efe d91b "",""8c00 2053 0000 e103 "",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
read_seq,2272893000,2280943000,Transaction,-,-,-,-,-,-,1'h1,1'h0,-,-,""read 0x0053 (INTERRUPT_ECC_IRQ_MASK)"",""2053 2000 "",""8c00 2053 "",-,12'h53,16'hdefa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2272893000,2273223000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,2273223000,2276423000,Transaction,"Transactions","SPI_DATA",16'h2053,16'h8c00,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,2276423000,2276753000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2276753000,2277083000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,2277083000,2280283000,Transaction,"Transactions","SPI_DATA",16'h2000,16'h2053,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,2280283000,2280613000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2280613000,2280943000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
